# grok sweep -- dgx lane
# requested window: last 24 hours
# written:  2026-09-11T22:46:06Z  (local: 2026-09-11 18:46:06 EDT)
# query:    Search X for posts and replies from @Oluwaphilemon1, @MiaAI_lab, @apikey_official, @HealthRanger, @0xBakeer, @filicroval, @ksuniri, @jimmycheng722, @shantanugoel, @MarkusEicher70, @no_stp_on_snek, @0xSero, @Brooooook_lyn, @bleysg in the last 24 hours about running local LLMs on an NVIDIA DGX Spark (GB10, CUDA, 128GB unified): NVFP4 or FP8 quantization, vLLM, TensorRT-LLM, SGLang, aggregate multi-stream throughput, single-Spark recipes for Qwen3.8-Flash-Next / DeepSeek-V4-Flash / GLM-5.3-Flash, Nemotron, and agent runtimes. Output ONE bullet per post and nothing else -- no preamble, no summary: - <UTC timestamp> | @handle | <post URL> | <the claim in one sentence>. Omit any item without both a URL and a UTC timestamp. If nothing matches, output exactly: NO RESULTS

I'll search X for those accounts in the last 24 hours and keep only posts that have both a URL and a UTC timestamp.I’ll search those accounts with Spark/NVFP4 keywords and pull thread context so I only keep on-topic posts.- 2026-09-11T22:05:19Z | @MiaAI_lab | https://x.com/MiaAI_lab/status/2098533371592790270 | DeepSeek v4.1 Flash on 4 DGX Sparks performs well enough that Mia would just run that.
- 2026-09-11T20:53:42Z | @MiaAI_lab | https://x.com/MiaAI_lab/status/2098515349733794062 | The 3x DGX Spark DeepSeek v4.1 Flash setup is ring topology and needs no switch.
- 2026-09-11T20:47:39Z | @MiaAI_lab | https://x.com/MiaAI_lab/status/2098513827222409261 | The DeepSeek v4.1 Flash Spark recipe does not care whether a switch is present.
- 2026-09-11T20:24:19Z | @MiaAI_lab | https://x.com/MiaAI_lab/status/2098507953309438118 | DeepSeek v4.1 Flash on 3x DGX Sparks reached 69 tok/s on a single stream for a real agentic task.
- 2026-09-11T20:24:19Z | @MiaAI_lab | https://x.com/MiaAI_lab/status/2098507956346138954 | Four Sparks should be faster, and the same GitHub repo covers both 3- and 4-Spark DeepSeek v4.1 Flash.
- 2026-09-11T19:30:40Z | @0xSero | https://x.com/0xSero/status/2098494453535097244 | DeepSeek v4.1 Flash is being run on 2 DGX Sparks with EXL3, aiming at a 2-Spark/2x RTX 6000 Pro fit via expert pruning.
- 2026-09-11T19:00:49Z | @0xBakeer | https://x.com/0xBakeer/status/2098486943399006576 | Further quantization of DeepSeek v4.1 Flash probably will not work well because the shipped quant is already Q4.
- 2026-09-11T18:41:53Z | @MiaAI_lab | https://x.com/MiaAI_lab/status/2098482178619310432 | A 2x DGX Spark recipe is coming soon.
- 2026-09-11T18:24:07Z | @HealthRanger | https://x.com/HealthRanger/status/2098477704714813557 | Qwen3.8-27B on a 450W RTX 6000 Pro hit 2500+ tok/s across 77 shared-262K lanes with MTP and SGLang, claimed equal to about five DGX Sparks.
- 2026-09-11T18:13:12Z | @HealthRanger | https://x.com/HealthRanger/status/2098474957625762139 | HealthRanger says the next stop after desktop Qwen3.8-27B work is two DGX Sparks.
- 2026-09-11T17:45:28Z | @0xBakeer | https://x.com/0xBakeer/status/2098467979092492509 | On the single-Spark DeepSeek v4.1 engine, NVMe expert streaming measured 2.4 GB/s effective and only 3.5 tok/s, worse than keeping a resident expert subset.
- 2026-09-11T17:17:13Z | @0xBakeer | https://x.com/0xBakeer/status/2098460870913228974 | A ~510 GB DeepSeek v4.1 Flash model on one 128 GB Spark went from 3 to 23 tok/s by shrinking weights, and is now memory-bandwidth bound.
- 2026-09-11T17:16:00Z | @MiaAI_lab | https://x.com/MiaAI_lab/status/2098460563240100232 | With two DGX Sparks you can run GLM 5.3 Flash and are already in a good place.
- 2026-09-11T15:28:55Z | @filicroval | https://x.com/filicroval/status/2098433613674975549 | Single-Spark Qwen3.8-Flash-Next: 32K cold TTFT 82.4s→46.8s, prefill 388→684 tok/s, default MTP-4 weighted decode 58.62→63.11 tok/s with 5/5 exact matches, and ngram-mod was a copy/transform accelerator not true decode.
- 2026-09-11T14:48:00Z | @MiaAI_lab | https://x.com/MiaAI_lab/status/2098423316159619241 | DeepSeek v4 Flash remains one of the best models to run on two DGX Sparks after reliability and image-support updates.
