# grok sweep (mac lane, tier 1)
# requested window: last 48 hours
# written:  2026-09-23T02:34:57Z  (local: 2026-09-22 22:34:57 EDT)
# query:    Search X for posts and replies from @antirez, @ivanfioravanti, @ddalcu, @Spangler3000, @jundotkim, @ggerganov, @korale77 and @Beamsters1 in the last 48 hours about local LLM inference on Apple Silicon: Metal, MLX, oMLX, mlx-serve, Rapid-MLX, llama.cpp, DwarfStar/ds4, quantization recipes, decode or prefill numbers, prefix caching, MTP or speculative decoding, M5 Max results, and local coding agents (OpenCode, Claude Code, Codex against local models). Output ONE bullet per post and nothing else -- no preamble, no summary: - <UTC timestamp> | @handle | <post URL> | <the claim in one sentence>. Omit any item without both a URL and a UTC timestamp. If nothing matches, output exactly: NO RESULTS

I'll search those accounts for the last 48 hours and keep only posts that match the Apple Silicon inference topics.The first pass hit the result cap and missed several accounts. I’ll page the rest of the 48-hour window and pull thread context for the short replies.- 2026-09-23 02:35:04 UTC | @ivanfioravanti | https://x.com/ivanfioravanti/status/2102587524287975731 | He will keep both of his M3 Ultra machines.
- 2026-09-23 02:01:19 UTC | @Beamsters1 | https://x.com/Beamsters1/status/2102579028377170131 | Models that ship native FP8 dense layers will not need an MLX affine requant or a bf16 dequant step.
- 2026-09-23 00:28:55 UTC | @ddalcu | https://x.com/ddalcu/status/2102555776606716387 | The next mlx-serve release will ship Laya in about three days.
- 2026-09-22 21:56:47 UTC | @ddalcu | https://x.com/ddalcu/status/2102517490534539432 | Try OpenCode first, then fall back to ompi and Gemma 31B if that fails.
- 2026-09-22 21:10:50 UTC | @ddalcu | https://x.com/ddalcu/status/2102505929380143518 | A Qwen preserve_thinking bug in mlx-serve depends on the agent or harness, and he thinks he found it.
- 2026-09-22 20:56:39 UTC | @ddalcu | https://x.com/ddalcu/status/2102502357464736030 | An iPhone 18 runs Bonsai-1 at 10 tok/s and Mimo Qwen 9B at 27 tok/s, but he still wants a 16GB or 12GB iPad M5 or above for quality.
- 2026-09-22 20:22:47 UTC | @ddalcu | https://x.com/ddalcu/status/2102493833863045445 | He says about 7GB is the size needed for that model to run on a phone.
- 2026-09-22 18:24:01 UTC | @ddalcu | https://x.com/ddalcu/status/2102463945512788174 | A 4B speed headline is not a serious test, small models already hit 700 tok/s for him, and results should include M1 through M4 as well as M5 Max.
- 2026-09-22 16:39:00 UTC | @ivanfioravanti | https://x.com/ivanfioravanti/status/2102437517517844785 | He tells people to try MLX-LM-LoRA.
- 2026-09-22 15:36:26 UTC | @ivanfioravanti | https://x.com/ivanfioravanti/status/2102421774378127840 | The price increase of the M5 Ultra with 512GB was left out of the comparison.
- 2026-09-22 14:25:30 UTC | @jundotkim | https://x.com/jundotkim/status/2102403921490882868 | He thanks Korean oMLX users for their support.
- 2026-09-22 14:23:37 UTC | @jundotkim | https://x.com/jundotkim/status/2102403447467409844 | He thanks a contributor for pushing MLX forward.
- 2026-09-22 14:21:47 UTC | @ddalcu | https://x.com/ddalcu/status/2102402987578573240 | He cites llama.cpp as a project that can slow down once it sits inside a corporate reporting structure.
- 2026-09-22 13:00:51 UTC | @ggerganov | https://x.com/ggerganov/status/2102382619845410978 | GGUF models can run in transformers because this work brings ggml Metal kernels into that stack.
- 2026-09-22 12:58:14 UTC | @ddalcu | https://x.com/ddalcu/status/2102381959431274692 | He pins a commit so every new mlx-serve language or media port supports both a bf16 pack and the quantized packs.
- 2026-09-22 12:52:07 UTC | @ddalcu | https://x.com/ddalcu/status/2102380423095497085 | The JEV branch is on mlx-serve main and plays two-player Pac-Man through Laya and MLX-Serve.
- 2026-09-22 12:46:32 UTC | @Beamsters1 | https://x.com/Beamsters1/status/2102379015524982785 | His Qwen image pull request already covers bf16 and w8a8, and MiMo took most of his time that day.
- 2026-09-22 12:44:40 UTC | @Beamsters1 | https://x.com/Beamsters1/status/2102378547671429577 | oMLX is a strong project, and he reworked its chat interface months ago.
- 2026-09-22 12:42:11 UTC | @ddalcu | https://x.com/ddalcu/status/2102377922275262753 | 8-bit is about 99.9% quality, and he is open to broader bf16 support in mlx-serve because most people have little RAM.
- 2026-09-22 12:20:55 UTC | @ivanfioravanti | https://x.com/ivanfioravanti/status/2102372568401691008 | He plans to connect two M5 Ultra machines with two M3 Ultra machines.
- 2026-09-22 12:13:49 UTC | @ddalcu | https://x.com/ddalcu/status/2102370783410458877 | MLX-Serve 26.9.5 adds Qwen Image 2.1, Prism Bonsai 2, faster concurrent streams, and charts and evals.
- 2026-09-22 11:58:58 UTC | @ivanfioravanti | https://x.com/ivanfioravanti/status/2102367046772089287 | He wants that person to push the Apple Silicon local-AI ecosystem further.
- 2026-09-22 11:55:14 UTC | @Beamsters1 | https://x.com/Beamsters1/status/2102366105549643788 | Prefill on the M5 Max is above 1500 tok/s.
- 2026-09-22 11:54:57 UTC | @Beamsters1 | https://x.com/Beamsters1/status/2102366036276252828 | That Qwen3.8-Flash-Next run is at 1M context.
- 2026-09-22 11:48:34 UTC | @Beamsters1 | https://x.com/Beamsters1/status/2102364428805284017 | He built the MiMo path from scratch.
- 2026-09-22 11:44:04 UTC | @Beamsters1 | https://x.com/Beamsters1/status/2102363296116637842 | EXL3 is already on the same branch, and he has not changed the label yet.
