# grok sweep (dgx lane)
# requested window: last 24 hours
# written:  2026-09-21T03:58:18Z  (local: 2026-09-20 23:58:18 EDT)
# query:    Search X for posts and replies from @no_stp_on_snek, @0xSero, @Brooooook_lyn, @bleysg, @Oluwaphilemon1, @MiaAI_lab, @apikey_official, @HealthRanger, @0xBakeer, @filicroval, @ksuniri, @jimmycheng722, @shantanugoel, @MarkusEicher70 in the last 24 hours about running LLMs on an NVIDIA DGX Spark (GB10): NVFP4 or FP8 recipes, vLLM, SGLang or TensorRT-LLM serving, aggregate multi-stream throughput, Nemotron or NVIDIA-org model builds, vision-language models, and agent runtimes. Output ONE bullet per post and nothing else -- no preamble, no summary: - <UTC timestamp> | @handle | <post URL> | <the claim in one sentence>. Omit any item without both a URL and a UTC timestamp. If nothing matches, output exactly: NO RESULTS

I'll search X for posts and replies from those accounts in the last 24 hours, then keep only items that have both a URL and a UTC timestamp.I’ll fill in the remaining accounts and pull replies that mention Spark serving, NVFP4/FP8, vLLM, SGLang, TensorRT-LLM, Nemotron, VLMs, or agent runtimes.I’ll split the 24-hour window and search the remaining handles so replies and extra Spark serving posts aren’t missed.I’ll check the remaining “Dgx spark” reply so the claim sentence names the model if the parent post does.- 2026-09-21 01:50:25 UTC | @ksuniri | https://x.com/ksuniri/status/2101851510363824153 | He says he keeps wanting to move to a 3x DGX Spark configuration.
- 2026-09-21 01:09:14 UTC | @ksuniri | https://x.com/ksuniri/status/2101841146049884363 | He is performance-testing a 2x DGX Spark setup with MiaAI_lab sparkDash and gpuClkMax 2200, and asks whether others also find the nodes run hot.
- 2026-09-21 01:00:32 UTC | @MiaAI_lab | https://x.com/MiaAI_lab/status/2101838958585930173 | She posts solo and dual DGX Spark GitHub recipes for Qwen 3.8 Flash Next.
- 2026-09-21 00:41:41 UTC | @ksuniri | https://x.com/ksuniri/status/2101834215868555499 | On 2x DGX Spark he prefers DeepSeek V4 Flash 0731 as orchestrator because GLM 5.3 Flash is too slow, and runs Qwen3.8 Flash as coder on an M5 Max.
- 2026-09-21 00:33:49 UTC | @MiaAI_lab | https://x.com/MiaAI_lab/status/2101832233455689986 | She asks whether Gemma 4 31B FP8 MTP is running on a Spark.
- 2026-09-21 00:21:06 UTC | @Oluwaphilemon1 | https://x.com/Oluwaphilemon1/status/2101829035038748770 | He says the updated Qwen3.8-Flash build on a single NVIDIA DGX Spark hits 117 tok/s prose and 180 tok/s code across 8 streams with optional NVIDIA NVFP4, 91 GiB peak memory, and a 24/7 auto-restart supervisor.
- 2026-09-20 23:54:40 UTC | @MiaAI_lab | https://x.com/MiaAI_lab/status/2101822382360907878 | She shares GitHub recipes for GLM 5.3 Flash, Qwen3.8 Flash Next, and DeepSeek v4.1 Flash on solo, dual, and 3–4x DGX Sparks.
- 2026-09-20 23:51:53 UTC | @MiaAI_lab | https://x.com/MiaAI_lab/status/2101821681404624976 | She reports typical Spark deployments as Qwen3.8 Flash Next on solo boxes, GLM 5.3 Flash or DeepSeek v4.1 Flash on 2x, and orchestrator/worker splits on 3x–6x, while she runs GLM 5.3 Flash on all three of her Sparks.
- 2026-09-20 20:02:00 UTC | @0xBakeer | https://x.com/0xBakeer/status/2101763828622950908 | He is benchmarking 13 Qwen-Image-2.1 configs on his DGX Spark, including SGLang-Diffusion and vLLM-Omni.
- 2026-09-20 19:56:58 UTC | @MarkusEicher70 | https://x.com/MarkusEicher70/status/2101762564124209483 | He asks whether a Spark manager is open source so he can reuse the pattern in a Hermes agent profile.
- 2026-09-20 19:38:49 UTC | @MarkusEicher70 | https://x.com/MarkusEicher70/status/2101757996120293830 | He asks whether the Spark Qwen3.8-Flash-Next EXL3 recipe can serve as a daily driver for Hermes agentic workflows with multimodal input.
